id,titulo,descricao,status,data
1,Vivendo no escuro,Desde quarta feira 31/01/24 por volta das 16:20 a energia acabou depois de aguardar por alguns momentos e não ter o serviço restab,Não respondida,Há 1 hora
2,Falta de energia elétrica - Empresa Magia Animal Raçoes e Acessorios - Estrada do Dende 1560 loja B - Ilha do Governador.,"Como é fato publico e notório, a região da Ilha do Governador, onde possuo um pequeno comercio de Pet Shop, vem sofrendo há muito",Não respondida,Há 1 hora
3,Contrato encerrado,segue o código de instalação*******Código do cliente32149518rua dois de fevereiro 1470 bl 3 apt 403,Não respondida,Há 1 hora
4,Falta de luz e Recusa em fornecer os protocolos,"Liguei pra empresa diversas vezes relatando a falta de luz no imovel, todas as vezes me informavam que a equipe estaria vindo, mas",Não respondida,Há 2 horas
5,Sem luz a 3 dias,"Já solicitei o reparo no posto no dia 1 de Janeiro e até o momento ninguém compareceu para realizar o reparo, Nossa galeria",Não respondida,Há 3 horas
6,Nome no Serasa,Recebi hoje um comunicado do Serasa avisando que a empresa Light Serviços de Eletricidade solicitou abertura de cadastro negativo,Não respondida,Há 3 horas
7,"Light deixa cliente 5 dias sem luz, com contas Pagas!","2 contas atrasadas. Dia 31/01/2024. A light corta a luz. Dia 01/02/2024 as contas são pagas. Entro no site da light, peço religaç",Não respondida,Há 4 horas
8,"Light e zoop, conta paga e nome negativado","Efetuei o pagamento da conta , conta esta retirada do site da light, e para minha supresa meu nome foi negativado, venho tendo res",Não respondida,Há 10 horas
9,Aparelho danificado por conta do pico de luz,"No dia 02/02/2024, entre 19:00-19:30, houve um pico de energia que queimou o meu computador. Estou fazendo um chamado para que pos",Não respondida,Há 12 horas
10,Residência sem energia elétrica.,Já tem mais de 15 dias que estou sem o fornecimento de energia.Fiz várias ligações com pedido de visita técnica e a empresa,Não respondida,Há 12 horas
11,Vivendo no escuro,Desde quarta feira 31/01/24 por volta das 16:20 a energia acabou depois de aguardar por alguns momentos e não ter o serviço restab,Não respondida,Há 1 hora
12,Falta de energia elétrica - Empresa Magia Animal Raçoes e Acessorios - Estrada do Dende 1560 loja B - Ilha do Governador.,"Como é fato publico e notório, a região da Ilha do Governador, onde possuo um pequeno comercio de Pet Shop, vem sofrendo há muito",Não respondida,Há 1 hora
13,Contrato encerrado,segue o código de instalação*******Código do cliente32149518rua dois de fevereiro 1470 bl 3 apt 403,Não respondida,Há 1 hora
14,Falta de luz e Recusa em fornecer os protocolos,"Liguei pra empresa diversas vezes relatando a falta de luz no imovel, todas as vezes me informavam que a equipe estaria vindo, mas",Não respondida,Há 2 horas
15,Sem luz a 3 dias,"Já solicitei o reparo no posto no dia 1 de Janeiro e até o momento ninguém compareceu para realizar o reparo, Nossa galeria",Não respondida,Há 3 horas
16,Nome no Serasa,Recebi hoje um comunicado do Serasa avisando que a empresa Light Serviços de Eletricidade solicitou abertura de cadastro negativo,Não respondida,Há 3 horas
17,"Light deixa cliente 5 dias sem luz, com contas Pagas!","2 contas atrasadas. Dia 31/01/2024. A light corta a luz. Dia 01/02/2024 as contas são pagas. Entro no site da light, peço religaç",Não respondida,Há 4 horas
18,"Light e zoop, conta paga e nome negativado","Efetuei o pagamento da conta , conta esta retirada do site da light, e para minha supresa meu nome foi negativado, venho tendo res",Não respondida,Há 10 horas
19,Aparelho danificado por conta do pico de luz,"No dia 02/02/2024, entre 19:00-19:30, houve um pico de energia que queimou o meu computador. Estou fazendo um chamado para que pos",Não respondida,Há 12 horas
